Item,Precio,Precio Oferta,URL
COCA-COLA Original 2.5 L,$ 188,0,"https://www.tiendainglesa.com.uy/supermercado/coca-cola-original-2.5-l.producto?2114,,42"
Yogur Bebible Light de Frutilla BIOTOP 1.2 L,$ 102,0,"https://www.tiendainglesa.com.uy/supermercado/yogur-bebible-light-de-frutilla-biotop-1.2-l.producto?2120,,42"
Sopa Crema KNORR Sabor Arvejas con Chile Chipotle 64 gr,$ 95,0,"https://www.tiendainglesa.com.uy/supermercado/sopa-crema-knorr-sabor-arvejas-con-chile-chipotle-64-gr.producto?2209,,42"
Sándwich de Atún Especial TIENDA INGLESA 2 Unidades,$ 189,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-atun-especial-tienda-inglesa-2-unidades.producto?2379,,42"
Mezcla de Vegetales para Preparar Puchero GRANJA JUAN DELPINO 1 Kg,$ 199,$ 167,"https://www.tiendainglesa.com.uy/supermercado/mezcla-de-vegetales-para-preparar-puchero-granja-juan-delpino-1-kg.producto?2410,,42"
Muslo 1/4 de Pollo AVESUR (Kg),$ 339,$ 239,"https://www.tiendainglesa.com.uy/supermercado/muslo-1-4-de-pollo-avesur-kg.producto?2564,,42"
Papel Higiénico ELITE Hoja Simple 12 Rollos x 30 mts,$ 322,0,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-hoja-simple-12-rollos-x-30-mts.producto?2673,,42"
Alfajor PORTEZUELO de Chocolate 40 gr,$ 29,0,"https://www.tiendainglesa.com.uy/supermercado/alfajor-portezuelo-de-chocolate-40-gr.producto?2709,,42"
Minikit Shock y Algui CLOR POOL,$ 955,0,"https://www.tiendainglesa.com.uy/supermercado/minikit-shock-y-algui-clor-pool.producto?2808,,42"
Pulverizador BELTRAME Puntero Regulable 1/2 lt,$ 199,0,"https://www.tiendainglesa.com.uy/supermercado/pulverizador-beltrame-puntero-regulable-1-2-lt.producto?2827,,42"
Mortadela Bocha Grande OTTONELLO (Kg),$ 540,$ 480,"https://www.tiendainglesa.com.uy/supermercado/mortadela-bocha-grande-ottonello-kg.producto?2828,,42"
Sándwich de Pollo con Mostaza Dijon y Almendras TIENDA INGLESA 2 Unida...,$ 113,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-pollo-con-mostaza-dijon-y-almendras-tienda-inglesa-2-unidades.producto?2895,,42"
Sándwich de Bondiola TIENDA INGLESA 2 Unidades,$ 121,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-bondiola-tienda-inglesa-2-unidades.producto?2898,,42"
Galleta CEREALITAS Clásicas 200 gr,$ 95,0,"https://www.tiendainglesa.com.uy/supermercado/galleta-cerealitas-clasicas-200-gr.producto?2919,,42"
Lomos de Atún en Aceite TIENDA INGLESA 354 gr,$ 273,0,"https://www.tiendainglesa.com.uy/supermercado/lomos-de-atun-en-aceite-tienda-inglesa-354-gr.producto?2967,,42"
Bolsas de Residuos Naranja TIENDA INGLESA 10 Unidades 48 x 55 cm,$ 79,0,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-naranja-tienda-inglesa-10-unidades-48-x-55-cm.producto?2970,,42"
Chorizos Extra CENTENARIO,$ 655,$ 459,"https://www.tiendainglesa.com.uy/supermercado/chorizos-extra-centenario.producto?3010,,42"
Tintura Permanente Excellence Creme de L'OREAL París 3 Castaño Oscuro....,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-3-castano-oscuro-47-gr.producto?3037,,42"
Tintura Permanente Excellence Creme de L'OREAL París 4 Castaño 47 gr,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-4-castano-47-gr.producto?3038,,42"
Tintura Permanente Excellence Creme de L'OREAL París 6 Rubio Oscuro 47...,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-6-rubio-oscuro-47-gr.producto?3039,,42"
Tintura Permanente Excellence Creme de L'OREAL París 7 Rubio 47 gr,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-7-rubio-47-gr.producto?3040,,42"
Tintura Permanente Excellence Creme de L'OREAL París 8 Rubio Claro 47...,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-8-rubio-claro-47-gr.producto?3041,,42"
Tintura Permanente Excellence Creme 9 Rubio Muy Claro L'OREAL París 47...,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-9-rubio-muy-claro-loreal-paris-47-gr.producto?3042,,42"
Tintura Permanente Excellence Creme de L'OREAL París 7.1 Rubio Ceniza....,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-7.1-rubio-ceniza-47-gr.producto?3045,,42"
Tintura Permanente Excellence Creme 9.1 Rubio Muy Claro Ceniza L'OREAL...,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-9.1-rubio-muy-claro-ceniza-loreal-paris-47-gr.producto?3048,,42"
Tintura Permanente Excellence Creme de L'OREAL París 7.11 Rubio Ceniza...,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-de-loreal-paris-7.11-rubio-ceniza-profundo-47-gr.producto?3050,,42"
Tintura Permanente Excellence Creme 8.11 Rubio Claro Ceniza Profundo L...,$ 709,0,"https://www.tiendainglesa.com.uy/supermercado/tintura-permanente-excellence-creme-8.11-rubio-claro-ceniza-profundo-loreal-paris-47-gr.producto?3051,,42"
Suavizante CONEJO Fragancia Relax Sachet 900 ml,$ 148,0,"https://www.tiendainglesa.com.uy/supermercado/suavizante-conejo-fragancia-relax-sachet-900-ml.producto?3052,,42"
Salsa de Tomate GOURMET Napolitana 1030 gr,$ 111,0,"https://www.tiendainglesa.com.uy/supermercado/salsa-de-tomate-gourmet-napolitana-1030-gr.producto?3111,,42"
Queso Muzzarella COLONIAL (Kg),$ 600,$ 480,"https://www.tiendainglesa.com.uy/supermercado/queso-muzzarella-colonial-kg.producto?3133,,42"
Queso Dambo Colonial GRANJA POCHA (Kg),$ 570,$ 460,"https://www.tiendainglesa.com.uy/supermercado/queso-dambo-colonial-granja-pocha-kg.producto?3134,,42"
Bloque para Mochila de Inodoro PATO PURIFIC 40 gr,$ 175,0,"https://www.tiendainglesa.com.uy/supermercado/bloque-para-mochila-de-inodoro-pato-purific-40-gr.producto?3218,,42"
Lustramuebles BLEM Brillo y Protección Madera Lavanda en Aerosol 360cc,$ 345,0,"https://www.tiendainglesa.com.uy/supermercado/lustramuebles-blem-brillo-y-proteccion-madera-lavanda-en-aerosol-360cc.producto?3268,,42"
Agua Mineral Natural NATIVA Con Gas 1 L,$ 68,0,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-nativa-con-gas-1-l.producto?3281,,42"
Sopa MAGGI Caracolitos 76 gr,$ 120,0,"https://www.tiendainglesa.com.uy/supermercado/sopa-maggi-caracolitos-76-gr.producto?3404,,42"
Queso Untable Magro FARMING 190gr,$ 130,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-magro-farming-190gr.producto?3487,,42"
Hamburguesa Clásicas HAMBY x 8 Unidades 668 gr,$ 399,0,"https://www.tiendainglesa.com.uy/supermercado/hamburguesa-clasicas-hamby-x-8-unidades-668-gr.producto?3505,,42"
Yo-Yo TIENDA INGLESA 1 Unidad,$ 89,0,"https://www.tiendainglesa.com.uy/supermercado/yo-yo-tienda-inglesa-1-unidad.producto?3679,,42"
Queso Untable Reducido en Sodio FARMING 190gr,$ 130,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-reducido-en-sodio-farming-190gr.producto?3707,,42"
Queso Untable con Ciboulette FARMING 190gr,$ 130,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-con-ciboulette-farming-190gr.producto?3708,,42"
Queso Untable con Pimienta FARMING 190gr,$ 130,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-con-pimienta-farming-190gr.producto?3710,,42"
Lentejas Peladas LA ABUNDANCIA 450g,$ 160,0,"https://www.tiendainglesa.com.uy/supermercado/lentejas-peladas-la-abundancia-450g.producto?3786,,42"
Hamburguesas Clásicas HAMBY x 12 Unidades 1 Kg,$ 521,0,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-clasicas-hamby-x-12-unidades-1-kg.producto?3796,,42"
Sándwich Capresse TIENDA INGLESA 2 Unidades,$ 120,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-capresse-tienda-inglesa-2-unidades.producto?3855,,42"
Sándwich de Jamón y Ananá TIENDA INGLESA 2 Unidades,$ 109,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-jamon-y-anana-tienda-inglesa-2-unidades.producto?3871,,42"
Sándwich de Pollo y Apio TIENDA INGLESA 2 Unidades,$ 119,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-pollo-y-apio-tienda-inglesa-2-unidades.producto?3873,,42"
